name; description; frequency; detalle; system; version; category; requirements
Recepción básica de huéspedes;Proceso inicial de bienvenida y orientación para huéspedes que llegan al hotel;Cada vez que llega un huésped (24/7);Saludo protocolario, identificación inicial del huésped, verificación rápida de reserva, orientación básica sobre instalaciones;PMS (Property Management System), Sistema de Gestión de Filas;1;IH-Op;NLP básico, reconocimiento facial básico, síntesis de voz básica;1.0;2.5
Check-in básico;Proceso de registro y asignación de habitación para huéspedes individuales;Cada vez que llega un huésped con reserva confirmada;Verificación de identidad, confirmación de reserva, registro de datos personales, asignación de habitación, entrega de llaves;PMS, Sistema de llaves electrónicas, Scanner de documentos;1;IH-Op;OCR avanzado, verificación de documentos, NLP básico, gestión de base de datos;1.0;2.8
Check-out básico;Proceso de salida del huésped incluyendo facturación básica;Cada vez que un huésped finaliza su estadía;Verificación de consumos básicos, generación de factura, proceso de pago, recolección de llaves;PMS, Terminal POS, Sistema de facturación;1;IH-Op, IH-Fin;Procesamiento de pagos, integración con POS, gestión de facturación electrónica;1.0;2.5
Gestión básica de reservaciones;Manejo de reservaciones individuales y modificaciones simples;Continua durante horario de atención;Creación de nuevas reservas, modificaciones simples, cancelaciones individuales, confirmación de disponibilidad;PMS, Sistema de reservas online;1;DIG-Res;Sistema de gestión de inventario de habitaciones, motor de reservas, integración con canales directos;1.0;2.3
Control básico del registro;Mantenimiento y actualización de información esencial de huéspedes;Continua durante la estadía del huésped;Actualización de datos básicos, registro de preferencias simples, mantenimiento de perfiles básicos;PMS, Base de datos de huéspedes;1;IH-Op;Gestión de base de datos relacional, sistema de perfiles básicos;1.0;2.0
Manejo básico de caja;Gestión básica de transacciones financieras en recepción;Continua durante horario de atención;Cobros directos, manejo de efectivo, cierre de turno básico, reportes simples;PMS, Terminal POS, Caja registradora;1;IH-Fin;Sistema de gestión de efectivo, procesamiento de pagos básico, generación de reportes simples;1.0;2.5
Gestión de emergencias básica;Procedimientos básicos de respuesta ante emergencias;Cuando se presenta una emergencia;Activación de protocolos básicos, contacto con servicios de emergencia, evacuación básica;Sistema de alarmas, PMS, Sistema de comunicación de emergencias;1;IH-Seg;Sistema de alertas en tiempo real, protocolos de comunicación de emergencia, gestión de notificaciones;1.0;2.0
Atención básica de llamadas;Manejo de llamadas básicas entrantes y salientes;24/7;Recepción de llamadas, transferencias básicas, mensajes simples;Central telefónica, PMS;1;DIG-Com;Sistema telefónico básico, registro de llamadas, gestión de mensajes;1.0;2.2
Check-in avanzado;Proceso de registro especializado para grupos y VIPs;Según llegada de grupos o huéspedes VIP;Registro simultáneo de grupos, manejo de VIPs, asignación especial de habitaciones, servicios personalizados;PMS, CRM, Sistema de gestión de grupos;2;MIX-Op;Gestión de grupos, reconocimiento VIP, automatización de asignaciones, integración con servicios especiales;2.0;3.5
Gestión avanzada de reservaciones;Manejo complejo de reservaciones grupales y corporativas;Según demanda de grupos y eventos;Gestión de bloques de habitaciones, contratos corporativos, tarifas especiales;PMS, Sistema de eventos, CRM corporativo;2;DIG-Res;Motor de reservas avanzado, gestión de contratos, sistema de tarifas dinámicas;2.0;3.2
Resolución básica de problemas;Sistema inicial de gestión y resolución de incidencias;Cuando se presentan incidencias;Registro de incidentes, categorización básica, resolución según protocolos;Sistema de tickets, PMS, Base de conocimientos;2;MIX-Op;Sistema de tickets, base de conocimientos, workflows básicos;2.0;3.0
Promoción de servicios;Sistema de recomendación y promoción de servicios del hotel;Durante interacción con huéspedes y automatizado;Presentación de ofertas personalizadas, sugerencia de servicios adicionales, promoción de eventos;PMS, Sistema de marketing, CRM;2;DIG-Mark;Sistema de recomendación básico, análisis de perfiles, automatización de marketing;2.0;3.3
Verificación de inventarios;Sistema de control y gestión de suministros de recepción;Diaria con actualizaciones en tiempo real;Control de stock, solicitud de reposición, gestión de proveedores, inventario periódico;Sistema de inventario, PMS;2;IH-Log;Sistema de gestión de inventario, predicción de demanda básica, automatización de pedidos;2.0;3.0
Registro de objetos perdidos;Sistema de gestión de objetos perdidos y encontrados;Cuando se reportan o encuentran objetos;Registro detallado, etiquetado, almacenamiento, seguimiento de reclamos;Sistema de inventario, Base de datos de objetos;2;IH-Log;Sistema de tracking, gestión de almacenamiento, reconocimiento de imágenes básico;2.0;3.0
Coordinación con departamentos;Sistema de comunicación y coordinación interdepartamental;Continua 24/7;Gestión de solicitudes, seguimiento de tareas, comunicación interna;Sistema de comunicación interna, PMS;2;IH-Op;Sistema de workflows, mensajería interna, gestión de tareas;2.0;3.5
Análisis predictivo básico;Sistema inicial de predicción de ocupación y recursos;Actualización diaria;Análisis de tendencias básicas, predicción de ocupación simple;Sistema IA básico, PMS;2;AN-Pred;Machine learning básico, análisis estadístico, predicción simple;2.0;3.2
